Course-Sec,Location,Day,Time
GS  332-03,6-165,UTR,1000-1050
GS  332-04,63-023,UTR,1100-1150
GS  332-05,63-023,UTR,1200-1250
GS  332-06,63-023,UTR,1300-1350
GS  342-01,24-141,MW,0830-0945
GS  342-02,24-141,MW,1000-1115
GS  342-03,24-141,MW,1300-1415
GS  355-01,6-169,UTR,0900-0950
GS  355-02,6-169,UTR,1000-1050
GS  355-03,6-169,UTR,1100-1150
GS  355-04,63-025,MW,0830-0945
GS  355-05,63-025,MW,1000-1115
GS  355-06,63-025,MW,1300-1415
GS  424-01,24-174,UTR,0800-0850
GS  424-02,24-174,UTR,0900-0950
GS  424-03,24-174,UTR,1000-1050
GS  424-04,59-1008,MW,0830-0945
GS  424-05,59-1008,MW,1000-1115
GS  424-06,63-025,UT,1100-1215
GS  424-07,63-025,UT,1230-1345
GS  454-01,63-023,UTR,0800-0850
GS  454-02,63-023,UTR,0900-0950
GS  454-03,63-023,UTR,1000-1050
ENGL101-01,24-128,UTR,1400-1450
ENGL101-04,24-180,UTR,0800-0850
ENGL101-05,3-101,UTR,0900-0950
ENGL101-06,3-109,UTR,0800-0850
ENGL101-07,24-125,UTR,0900-0950
ENGL101-08,24-151,UTR,0900-0950
ENGL101-09,3-108,UTR,1000-1050
ENGL101-10,24-180,UTR,1000-1050
ENGL101-11,3-109,UTR,0900-0950
ENGL101-12,24-137,UTR,1000-1050
ENGL101-13,63-326,UTR,1000-1050
ENGL101-14,24-135,UTR,1100-1150
ENGL101-15,24-240,UTR,1100-1150
ENGL101-16,6-100,UTR,1100-1150
ENGL101-17,24-240,UTR,1200-1250
ENGL101-18,6-209,UTR,1200-1250
ENGL101-19,24-240,UTR,1300-1350
ENGL101-F20,7-100,UTR,0700-0750
ENGL101-F21,7-100,UTR,0800-0850
ENGL101-F22,7-113,UTR,0900-0950
ENGL101-F23,7-116,UTR,1000-1050
ENGL101-F24,7-102,UTR,1100-1150
ENGL101-F25,7-102,UTR,1200-1250
ENGL101-F26,7-100,UTR,1200-1250
ENGL101-F27,7-102,UTR,1300-1350
ENGL102-01,24-244,UTR,0700-0750
ENGL102-02,76-1128,UTR,0800-0850
ENGL102-03,24-244,UTR,0800-0850
ENGL102-04,76-2152,UTR,0900-0950
ENGL102-05,3-104,UTR,1000-1050
ENGL102-06,76-2152,UTR,1000-1050
ENGL102-07,6-103,UTR,1100-1150
ENGL102-08,6-211,UTR,1000-1050
ENGL102-09,3-108,UTR,1100-1150
ENGL102-10,76-2126,UTR,1100-1150
ENGL102-11,6-209,UTR,1100-1150
ENGL102-12,6-163,UTR,1200-1250
ENGL102-13,22-121,UTR,1100-1150
ENGL102-14,3-101,UTR,1100-1150
ENGL102-15,6-105,UTR,1200-1250
ENGL102-16,63-223,UTR,1100-1150
ENGL102-17,6-211,UTR,1200-1250
ENGL102-18,19-413,UTR,1200-1250
ENGL102-19,19-405,UTR,1200-1250
ENGL102-20,6-105,UTR,1300-1350
ENGL102-21,24-153,UTR,1300-1350
ENGL102-22,6-211,UTR,1300-1350
ENGL102-23,63-037,UTR,1200-1250
ENGL102-24,3-104,UTR,1300-1350
ENGL102-25,3-108,UTR,1300-1350
ENGL102-26,24-115,UTR,1400-1450
ENGL102-27,6-101,UTR,1400-1450
ENGL102-28,24-125,UTR,1400-1450
ENGL102-29,76-1128,UTR,1520-1610
ENGL102-F30,7-113,MW,1130-1245
ENGL102-F31,7-113,MW,1000-1115
ENGL102-F32,7-114,UTR,0900-0950
ENGL102-F33,7-114,UTR,1000-1050
ENGL102-F34,7-113,UTR,1100-1150
ENGL102-F35,7-114,UTR,1200-1250
ENGL102-F36,7-113,UTR,1200-1250
ENGL102-F37,7-113,UTR,1300-1350
ENGL214-01,76-2152,MW,1000-1115
ENGL214-02,24-149,UTR,0800-0850
ENGL214-03,24-240,UTR,0800-0850
ENGL214-04,6-209,UTR,0800-0850
ENGL214-05,24-249,UTR,0900-0950
ENGL214-06,24-180,UTR,0900-0950
ENGL214-07,24-250,UTR,0900-0950
ENGL214-08,24-156,UTR,0900-0950
ENGL214-09,6-103,UTR,0900-0950
ENGL214-10,24-135,UTR,1000-1050
ENGL214-11,24-240,UTR,1000-1050
ENGL214-12,6-103,UTR,1000-1050
ENGL214-13,24-240,UTR,1000-1050
ENGL214-14,6-106,UTR,1000-1050
ENGL214-15,24-240,UTR,1100-1150
ENGL214-16,6-258,UTR,1100-1150
ENGL214-18,6-166,UTR,1100-1150
ENGL214-19,6-200,UTR,1100-1150
ENGL214-20,63-034,UTR,1200-1250
ENGL214-22,6-106,UTR,1200-1250
ENGL214-23,63-031,UTR,1300-1350
ENGL214-24,63-124,UTR,1300-1350
ENGL214-25,6-106,UTR,1300-1350
ENGL214-26,63-026,UTR,1400-1450
ENGL214-27,6-103,UTR,1400-1450
ENGL214-28,6-105,UTR,1400-1450
ENGL214-30,24-178,UTR,0700-0750
ENGL214-31,24-178,UTR,0800-0850
ENGL214-32,24-250,UTR,0800-0850
ENGL214-F29,7-100,UTR,1400-1450
STAT319-01,59-2009,UTR,0800-0850
STAT319-01,22-333,M,0700-0850
STAT319-02,59-2022,UTR,0900-0950
STAT319-02,22-334,M,0700-0850
STAT319-03,59-1017,UTR,1000-1050
STAT319-03,22-333,W,0700-0850
STAT319-04,59-2023,UTR,0900-0950
STAT319-04,22-334,W,0700-0850
STAT319-05,59-1015,UTR,1000-1050
STAT319-05,22-333,M,0900-1050
STAT319-06,63-321,UTR,1100-1150
STAT319-06,22-334,M,0900-1050
STAT319-07,59-1005,UTR,1100-1150
STAT319-07,22-333,W,0900-1050
STAT319-08,59-1017,UTR,1300-1350
STAT319-08,22-334,W,0900-1050
STAT319-09,59-2011,UTR,1200-1250
STAT319-09,22-333,M,1100-1250
STAT319-10,59-1014,UTR,1400-1450
STAT319-10,22-334,M,1200-1350
STAT319-11,59-1005,UTR,1500-1550
STAT319-11,22-333,W,1100-1250
STAT319-12,59-2018,UTR,0800-0850
STAT319-12,5-202,M,1400-1550
CHEM101-01,63-325,W,0800-0850
CHEM101-01,63-362,UTR,0800-0850
CHEM101-02,63-325,W,0900-0950
CHEM101-02,63-362,UTR,0800-0850
CHEM101-03,63-121,W,1000-1050
CHEM101-03,63-362,UTR,0800-0850
CHEM101-04,63-221,W,0800-0850
CHEM101-04,63-362,UTR,0900-0950
CHEM101-05,63-227,W,0900-0950
CHEM101-05,63-362,UTR,0900-0950
CHEM101-06,63-223,W,1000-1050
CHEM101-06,63-362,UTR,0900-0950
CHEM101-07,63-325,M,0800-0850
CHEM101-07,63-362,UTR,1000-1050
CHEM101-08,63-229,M,0900-0950
CHEM101-08,63-362,UTR,1000-1050
CHEM101-09,63-229,M,1000-1050
CHEM101-09,63-362,UTR,1000-1050
CHEM101-10,63-225,W,0900-0950
CHEM101-10,63-362,UTR,1100-1150
CHEM101-11,63-226,W,1000-1050
CHEM101-11,63-362,UTR,1100-1150
CHEM101-12,63-223,W,1100-1150
CHEM101-12,63-362,UTR,1100-1150
CHEM101-13,63-024,W,1200-1250
CHEM101-13,63-362,UTR,1200-1250
CHEM101-14,63-022,W,1300-1350
CHEM101-14,63-362,UTR,1200-1250
CHEM101-15,63-024,W,1400-1450
CHEM101-15,63-362,UTR,1200-1250
CHEM101-16,63-026,W,1200-1250
CHEM101-16,63-331,UTR,1300-1350
CHEM101-17,63-024,W,1300-1350
CHEM101-17,63-331,UTR,1300-1350
CHEM101-18,63-026,W,1400-1450
CHEM101-18,63-331,UTR,1300-1350
CHEM101-51,75-302,U,0800-1050
CHEM101-52,75-None,M,1100-1350
CHEM101-54,75-302,M,0800-1050
CHEM101-55,75-304,M,0800-1050
CHEM101-56,75-306,M,0800-1050
CHEM101-57,75-308,M,0800-1050
CHEM101-58,75-310,M,0800-1050
CHEM101-59,75-304,M,1100-1350
CHEM101-60,75-306,M,1100-1350
CHEM101-61,75-308,M,1100-1350
CHEM101-62,None,M,1100-1350
CHEM101-63,75-312,M,1100-1350
CHEM101-64,75-310,T,1400-1650
CHEM101-65,75-312,T,1400-1650
CHEM101-66,75-306,T,1400-1650
CHEM101-67,75-308,T,1400-1650
CHEM101-68,75-302,T,0800-1050
CHEM101-69,75-304,T,1100-1350
CHEM101-70,75-302,T,1400-1650
CHEM101-71,75-304,T,1400-1650
CHEM101-72,75-309,T,1400-1650
CHEM101-73,75-302,W,0800-1050
CHEM101-74,75-304,W,0800-1050
CHEM101-75,75-302,W,1100-1350
CHEM101-76,75-304,W,1100-1350
CHEM101-77,75-306,W,1100-1350
CHEM101-78,75-308,W,1100-1350
CHEM101-79,75-302,W,1400-1650
CHEM101-80,75-304,W,1400-1650
CHEM101-81,75-306,W,1400-1650
CHEM101-82,75-308,W,1400-1650
CHEM101-83,75-310,W,1400-1650
CHEM101-84,75-312,W,1400-1650
CHEM101-85,75-309,W,1400-1650
CHEM101-86,75-302,R,0800-1050
CHEM101-87,75-304,R,1300-1550
CHEM101-F22,7-113,M,0800-0850
CHEM101-F22,14-108,UTR,1000-1050
CHEM101-F23,7-113,M,0900-0950
CHEM101-F23,14-108,UTR,1000-1050
CHEM101-F24,7-102,M,1000-1050
CHEM101-F24,14-108,UTR,1000-1050
CHEM101-F25,7-113,W,0800-0850
CHEM101-F25,14-108,UTR,0900-0950
CHEM101-F26,7-113,W,0900-0950
CHEM101-F26,14-108,UTR,0900-0950
CHEM101-F27,7-102,W,1000-1050
CHEM101-F27,14-108,UTR,0900-0950
CHEM101-F51,75-304,U,1400-1650
CHEM101-F52,75-306,U,1400-1650
CHEM101-F53,75-308,U,1400-1650
CHEM101-F54,75-310,U,1400-1650
CHEM101-F55,75-312,U,1400-1650
CHEM101-F56,75-306,M,1400-1650
CHEM101-F57,75-308,M,1400-1650
CHEM101-F58,75-310,M,1400-1650
CHEM101-F59,75-312,M,1400-1650
CHEM101-F60,75-312,M,1400-1650
