Course-Sec,Day,Time,Location
PHYS102-F32,W,0800-0850,14-108
PHYS102-F32,UTR,0800-0850,14-111
PHYS102-F34,W,1000-1050,14-108
PHYS102-F34,UTR,1300-1350,14-108
PHYS102-F35,W,1000-1050,14-108
PHYS102-F35,UTR,1300-1350,14-108
PHYS102-F36,W,1000-1050,14-108
PHYS102-F36,UTR,1300-1350,14-108
PHYS102-F37,W,1300-1350,14-108
PHYS102-F37,UTR,1100-1150,14-108
PHYS102-F38,W,1300-1350,14-108
PHYS102-F38,UTR,1100-1150,14-108
PHYS102-F39,W,1300-1350,14-108
PHYS102-F39,UTR,1100-1150,14-108
PHYS102-F61,M,1000-1240,None
PHYS102-F62,M,1000-1240,None
PHYS102-F63,M,1000-1240,None
PHYS102-F66,M,1300-1540,None
PHYS102-F67,M,1300-1540,None
PHYS102-F68,M,1300-1540,None
PHYS102-F77,T,1300-1540,None
PHYS102-F78,T,1300-1540,None
PHYS102-F82,W,1000-1240,None
PHYS102-F83,W,1000-1240,None
PHYS102-F84,W,1000-1240,None
PHYS102-F87,W,1300-1540,None
PHYS102-F88,W,1300-1540,None
PHYS102-F89,W,1300-1540,None
PHYS102-F90,T,1000-1240,None
PHYS102-F91,T,1000-1240,None
ISE 291-01,UTR,0900-0950,23-011
ISE 291-02,UTR,0900-0950,24-128
ISE 291-03,UTR,1000-1050,22-121
ISE 291-04,UTR,1000-1050,22-125
ISE 291-05,UTR,1100-1150,24-178
ISE 291-06,UTR,1200-1250,22-119
ISE 291-07,UTR,1300-1350,59-2011
ISE 291-08,UTR,1400-1450,24-153
ISE 291-09,UT,1100-1215,76-1124
ISE 291-10,UT,1230-1345,23-014
ISE 291-11,UT,1720-1835,24-146
ISE 291-12,MW,0830-0945,59-1015
ISE 291-13,MW,1000-1115,59-1011
ISE 291-17,MW,1720-1835,24-151
ISE 291-18,UTR,1300-1350,59-2017
ISE 291-F31,MW,1100-1215,7-102
ISE 291-F32,MW,1230-1345,7-102
